p1,p2
TrF0242/NYU_bedroom_0084_2,TrF0242/NYU_bedroom_0084_4
TeF0243/NYU_bedroom_0086_1,TeF0243/NYU_bedroom_0086_2
TrF0244/NYU_bedroom_0087_2,TrF0244/NYU_bedroom_0087_3
TeF0245/NYU_bedroom_0088_1,TeF0245/NYU_bedroom_0088_2
VaF0246/NYU_bedroom_0092_1,VaF0246/NYU_bedroom_0092_2
VaF0246/NYU_bedroom_0092_2,VaF0246/NYU_bedroom_0092_3
TrF0247/NYU_bedroom_0095_1,TrF0247/NYU_bedroom_0095_2
TrF0247/NYU_bedroom_0095_2,TrF0247/NYU_bedroom_0095_4
TrF0248/NYU_bedroom_0096_2,TrF0248/NYU_bedroom_0096_3
TrF0249/NYU_bedroom_0100_2,TrF0249/NYU_bedroom_0100_3
TrF0250/NYU_bedroom_0102_1,TrF0250/NYU_bedroom_0102_2
TeF0251/NYU_bedroom_0104_1,TeF0251/NYU_bedroom_0104_3
TrF0252/NYU_bedroom_0106_1,TrF0252/NYU_bedroom_0106_2
TrF0252/NYU_bedroom_0106_1,TrF0252/NYU_bedroom_0106_3
TrF0252/NYU_bedroom_0106_1,TrF0252/NYU_bedroom_0106_4
TrF0252/NYU_bedroom_0106_2,TrF0252/NYU_bedroom_0106_3
TrF0252/NYU_bedroom_0106_2,TrF0252/NYU_bedroom_0106_4
TrF0253/NYU_bedroom_0107_2,TrF0253/NYU_bedroom_0107_3
TrF0253/NYU_bedroom_0107_1,TrF0253/NYU_bedroom_0107_2
TrF0254/NYU_bedroom_0108_1,TrF0254/NYU_bedroom_0108_2
TrF0254/NYU_bedroom_0108_2,TrF0254/NYU_bedroom_0108_3
TrF0255/NYU_bedroom_0109_1,TrF0255/NYU_bedroom_0109_2
VaF0256/NYU_bedroom_0110_1,VaF0256/NYU_bedroom_0110_2
VaF0256/NYU_bedroom_0110_1,VaF0256/NYU_bedroom_0110_3
VaF0257/NYU_bedroom_0116_1,VaF0257/NYU_bedroom_0116_2
TrF0258/NYU_bedroom_0117_1,TrF0258/NYU_bedroom_0117_2
TrF0259/NYU_bedroom_0119_1,TrF0259/NYU_bedroom_0119_2
TrF0259/NYU_bedroom_0119_2,TrF0259/NYU_bedroom_0119_3
TeF0260/NYU_bedroom_0124_1,TeF0260/NYU_bedroom_0124_2
TrF0261/NYU_bedroom_0127_1,TrF0261/NYU_bedroom_0127_2
TeF0262/NYU_bedroom_0128_1,TeF0262/NYU_bedroom_0128_2
TeF0263/NYU_bedroom_0134_1,TeF0263/NYU_bedroom_0134_2
TeF0263/NYU_bedroom_0134_1,TeF0263/NYU_bedroom_0134_3
TeF0263/NYU_bedroom_0134_2,TeF0263/NYU_bedroom_0134_3
TeF0264/NYU_bedroom_0135_3,TeF0264/NYU_bedroom_0135_4
TeF0264/NYU_bedroom_0135_2,TeF0264/NYU_bedroom_0135_3
TrF0266/NYU_bedroom_0136_1,TrF0266/NYU_bedroom_0136_4
TrF0265/NYU_bedroom_0136_2,TrF0265/NYU_bedroom_0136_3
TrF0267/NYU_bedroom_0138_1,TrF0267/NYU_bedroom_0138_2
VaF0268/NYU_bookstore_0001_1,VaF0268/NYU_bookstore_0001_2
VaF0268/NYU_bookstore_0001_2,VaF0268/NYU_bookstore_0001_3
TrF0269/NYU_bookstore_0001_4,TrF0269/NYU_bookstore_0001_6
TrF0271/NYU_bookstore_0002_4,TrF0271/NYU_bookstore_0002_5
VaF0270/NYU_bookstore_0002_11,VaF0270/NYU_bookstore_0002_12
VaF0272/NYU_classroom_0004_1,VaF0272/NYU_classroom_0004_2
TrF0273/NYU_classroom_0006_1,TrF0273/NYU_classroom_0006_3
VaF0274/NYU_classroom_0007_1,VaF0274/NYU_classroom_0007_3
VaF0275/NYU_classroom_0008_1,VaF0275/NYU_classroom_0008_2
TeF0276/NYU_classroom_0009_1,TeF0276/NYU_classroom_0009_2
TeF0277/NYU_classroom_0010_1,TeF0277/NYU_classroom_0010_2
TrF0278/NYU_classroom_0011_1,TrF0278/NYU_classroom_0011_2
VaF0279/NYU_classroom_0012_1,VaF0279/NYU_classroom_0012_2
TrF0280/NYU_classroom_0017_1,TrF0280/NYU_classroom_0017_2
TrF0281/NYU_classroom_0018_1,TrF0281/NYU_classroom_0018_2
TrF0281/NYU_classroom_0018_2,TrF0281/NYU_classroom_0018_3
TrF0281/NYU_classroom_0018_1,TrF0281/NYU_classroom_0018_3
VaF0282/NYU_classroom_0022_1,VaF0282/NYU_classroom_0022_2
VaF0282/NYU_classroom_0022_1,VaF0282/NYU_classroom_0022_3
VaF0282/NYU_classroom_0022_1,VaF0282/NYU_classroom_0022_4
VaF0282/NYU_classroom_0022_2,VaF0282/NYU_classroom_0022_3
VaF0282/NYU_classroom_0022_2,VaF0282/NYU_classroom_0022_4
VaF0282/NYU_classroom_0022_4,VaF0282/NYU_classroom_0022_3
TrF0283/NYU_classroom_0023_3,TrF0283/NYU_classroom_0023_4
TrF0284/NYU_classroom_0024_1,TrF0284/NYU_classroom_0024_2
TeF0285/NYU_classroom_0026_1,TeF0285/NYU_classroom_0026_2
VaF0286/NYU_computer_lab_0001_1,VaF0286/NYU_computer_lab_0001_2
VaF0286/NYU_computer_lab_0001_1,VaF0286/NYU_computer_lab_0001_3
VaF0286/NYU_computer_lab_0001_2,VaF0286/NYU_computer_lab_0001_3
VaF0287/NYU_computer_lab_0002_1,VaF0287/NYU_computer_lab_0002_3
TeF0288/NYU_conference_room_0001_1,TeF0288/NYU_conference_room_0001_2
TeF0288/NYU_conference_room_0001_2,TeF0288/NYU_conference_room_0001_3
TeF0288/NYU_conference_room_0001_1,TeF0288/NYU_conference_room_0001_3
TeF0289/NYU_conference_room_0002_1,TeF0289/NYU_conference_room_0002_2
TrF0290/NYU_dinette_0001_3,TrF0290/NYU_dinette_0001_4
TrF0290/NYU_dinette_0001_1,TrF0290/NYU_dinette_0001_3
TrF0290/NYU_dinette_0001_1,TrF0290/NYU_dinette_0001_4
TrF0290/NYU_dinette_0001_2,TrF0290/NYU_dinette_0001_3
TrF0290/NYU_dinette_0001_2,TrF0290/NYU_dinette_0001_4
TrF0291/NYU_dining_room_0001_1,TrF0291/NYU_dining_room_0001_2
TrF0291/NYU_dining_room_0001_1,TrF0291/NYU_dining_room_0001_4
TrF0292/NYU_dining_room_0001_3,TrF0292/NYU_dining_room_0001_5
TeF0293/NYU_dining_room_0003_1,TeF0293/NYU_dining_room_0003_3
TrF0294/NYU_dining_room_0004_1,TrF0294/NYU_dining_room_0004_3
TrF0295/NYU_dining_room_0005_1,TrF0295/NYU_dining_room_0005_2
TrF0296/NYU_dining_room_0006_1,TrF0296/NYU_dining_room_0006_2
TeF0297/NYU_dining_room_0008_1,TeF0297/NYU_dining_room_0008_3
VaF0298/NYU_dining_room_0011_1,VaF0298/NYU_dining_room_0011_2
TrF0299/NYU_dining_room_0012_1,TrF0299/NYU_dining_room_0012_2
TrF0300/NYU_dining_room_0013_1,TrF0300/NYU_dining_room_0013_2
TrF0300/NYU_dining_room_0013_2,TrF0300/NYU_dining_room_0013_3
TrF0301/NYU_dining_room_0015_2,TrF0301/NYU_dining_room_0015_3
TrF0301/NYU_dining_room_0015_2,TrF0301/NYU_dining_room_0015_4
TrF0301/NYU_dining_room_0015_3,TrF0301/NYU_dining_room_0015_4
VaF0302/NYU_dining_room_0016_1,VaF0302/NYU_dining_room_0016_2
TrF0303/NYU_dining_room_0017_1,TrF0303/NYU_dining_room_0017_2
TrF0304/NYU_dining_room_0018_1,TrF0304/NYU_dining_room_0018_4
TrF0305/NYU_dining_room_0020_1,TrF0305/NYU_dining_room_0020_2
TrF0306/NYU_dining_room_0021_2,TrF0306/NYU_dining_room_0021_3
TeF0307/NYU_dining_room_0022_1,TeF0307/NYU_dining_room_0022_2
TeF0308/NYU_dining_room_0024_1,TeF0308/NYU_dining_room_0024_2
TeF0308/NYU_dining_room_0024_1,TeF0308/NYU_dining_room_0024_3
TeF0308/NYU_dining_room_0024_2,TeF0308/NYU_dining_room_0024_3
VaF0309/NYU_dining_room_0025_1,VaF0309/NYU_dining_room_0025_2
VaF0309/NYU_dining_room_0025_1,VaF0309/NYU_dining_room_0025_3
VaF0309/NYU_dining_room_0025_2,VaF0309/NYU_dining_room_0025_3
TrF0310/NYU_dining_room_0026_2,TrF0310/NYU_dining_room_0026_3
VaF0311/NYU_dining_room_0028_1,VaF0311/NYU_dining_room_0028_2
TrF0312/NYU_dining_room_0029_1,TrF0312/NYU_dining_room_0029_2
TrF0312/NYU_dining_room_0029_3,TrF0312/NYU_dining_room_0029_4
TrF0312/NYU_dining_room_0029_2,TrF0312/NYU_dining_room_0029_3
VaF0314/NYU_dining_room_0030_1,VaF0314/NYU_dining_room_0030_4
TeF0313/NYU_dining_room_0030_2,TeF0313/NYU_dining_room_0030_3
TeF0315/NYU_dining_room_0031_2,TeF0315/NYU_dining_room_0031_4
TeF0315/NYU_dining_room_0031_1,TeF0315/NYU_dining_room_0031_4
TeF0315/NYU_dining_room_0031_2,TeF0315/NYU_dining_room_0031_5
TrF0316/NYU_dining_room_0032_3,TrF0316/NYU_dining_room_0032_4
TrF0316/NYU_dining_room_0032_2,TrF0316/NYU_dining_room_0032_4
TrF0317/NYU_dining_room_0033_1,TrF0317/NYU_dining_room_0033_2
TrF0317/NYU_dining_room_0033_1,TrF0317/NYU_dining_room_0033_3
TrF0317/NYU_dining_room_0033_2,TrF0317/NYU_dining_room_0033_3
TeF0318/NYU_dining_room_0034_3,TeF0318/NYU_dining_room_0034_4
TrF0319/NYU_dining_room_0035_1,TrF0319/NYU_dining_room_0035_3
TrF0320/NYU_dining_room_0036_1,TrF0320/NYU_dining_room_0036_2
TrF0320/NYU_dining_room_0036_3,TrF0320/NYU_dining_room_0036_4
TrF0320/NYU_dining_room_0036_5,TrF0320/NYU_dining_room_0036_6
TrF0320/NYU_dining_room_0036_2,TrF0320/NYU_dining_room_0036_3
TrF0320/NYU_dining_room_0036_4,TrF0320/NYU_dining_room_0036_5
TrF0320/NYU_dining_room_0036_1,TrF0320/NYU_dining_room_0036_3
TrF0320/NYU_dining_room_0036_4,TrF0320/NYU_dining_room_0036_6
TrF0321/NYU_dining_room_0037_2,TrF0321/NYU_dining_room_0037_3
TrF0321/NYU_dining_room_0037_3,TrF0321/NYU_dining_room_0037_4
TrF0321/NYU_dining_room_0037_2,TrF0321/NYU_dining_room_0037_4
TrF0322/NYU_dining_room_0038_2,TrF0322/NYU_dining_room_0038_3
TeF0323/NYU_foyer_0002_1,TeF0323/NYU_foyer_0002_2
TrF0325/NYU_furniture_store_0001_1,TrF0325/NYU_furniture_store_0001_2
TrF0326/NYU_furniture_store_0001_3,TrF0326/NYU_furniture_store_0001_5
TrF0327/NYU_furniture_store_0001_6,TrF0327/NYU_furniture_store_0001_7
TeF0324/NYU_furniture_store_0001_14,TeF0324/NYU_furniture_store_0001_16
TrF0328/NYU_home_office_0001_2,TrF0328/NYU_home_office_0001_3
VaF0329/NYU_home_office_0002_2,VaF0329/NYU_home_office_0002_3
VaF0330/NYU_home_office_0005_2,VaF0330/NYU_home_office_0005_3
VaF0330/NYU_home_office_0005_2,VaF0330/NYU_home_office_0005_4
VaF0330/NYU_home_office_0005_3,VaF0330/NYU_home_office_0005_4
TrF0331/NYU_home_office_0006_1,TrF0331/NYU_home_office_0006_2
TrF0331/NYU_home_office_0006_3,TrF0331/NYU_home_office_0006_4
TrF0331/NYU_home_office_0006_2,TrF0331/NYU_home_office_0006_3
TrF0331/NYU_home_office_0006_4,TrF0331/NYU_home_office_0006_5
TrF0331/NYU_home_office_0006_1,TrF0331/NYU_home_office_0006_4
TrF0331/NYU_home_office_0006_2,TrF0331/NYU_home_office_0006_4
TrF0332/NYU_home_office_0007_1,TrF0332/NYU_home_office_0007_2
TrF0333/NYU_home_office_0009_1,TrF0333/NYU_home_office_0009_2
TeF0334/NYU_home_office_0010_1,TeF0334/NYU_home_office_0010_2
TeF0334/NYU_home_office_0010_3,TeF0334/NYU_home_office_0010_4
TeF0334/NYU_home_office_0010_2,TeF0334/NYU_home_office_0010_4
TrF0335/NYU_home_office_0011_1,TrF0335/NYU_home_office_0011_2
TrF0336/NYU_home_office_0011_3,TrF0336/NYU_home_office_0011_4
TrF0337/NYU_home_office_0012_1,TrF0337/NYU_home_office_0012_2
TrF0338/NYU_home_office_0013_1,TrF0338/NYU_home_office_0013_2
TrF0338/NYU_home_office_0013_1,TrF0338/NYU_home_office_0013_3
TrF0339/NYU_home_storage_0001_1,TrF0339/NYU_home_storage_0001_2
TrF0339/NYU_home_storage_0001_3,TrF0339/NYU_home_storage_0001_4
TrF0339/NYU_home_storage_0001_2,TrF0339/NYU_home_storage_0001_3
TrF0339/NYU_home_storage_0001_4,TrF0339/NYU_home_storage_0001_5
TrF0340/NYU_kitchen_0003_3,TrF0340/NYU_kitchen_0003_4
TrF0340/NYU_kitchen_0003_1,TrF0340/NYU_kitchen_0003_3
TeF0341/NYU_kitchen_0004_1,TeF0341/NYU_kitchen_0004_2
TeF0342/NYU_kitchen_0007_1,TeF0342/NYU_kitchen_0007_4
TrF0343/NYU_kitchen_0010_2,TrF0343/NYU_kitchen_0010_3
TrF0343/NYU_kitchen_0010_2,TrF0343/NYU_kitchen_0010_3
VaF0344/NYU_kitchen_0011_3,VaF0344/NYU_kitchen_0011_4
TrF0347/NYU_kitchen_0019_6,TrF0347/NYU_kitchen_0019_8
TrF0347/NYU_kitchen_0019_7,TrF0347/NYU_kitchen_0019_8
TrF0346/NYU_kitchen_0019_1,TrF0346/NYU_kitchen_0019_3
TrF0346/NYU_kitchen_0019_1,TrF0346/NYU_kitchen_0019_4
TrF0346/NYU_kitchen_0019_3,TrF0346/NYU_kitchen_0019_4
TrF0345/NYU_kitchen_0019_13,TrF0345/NYU_kitchen_0019_14
TeF0348/NYU_kitchen_0022_1,TeF0348/NYU_kitchen_0022_4
TeF0348/NYU_kitchen_0022_1,TeF0348/NYU_kitchen_0022_5
TrF0349/NYU_kitchen_0023_1,TrF0349/NYU_kitchen_0023_2
TrF0349/NYU_kitchen_0023_2,TrF0349/NYU_kitchen_0023_3
TeF0350/NYU_kitchen_0024_1,TeF0350/NYU_kitchen_0024_2
TrF0351/NYU_kitchen_0025_1,TrF0351/NYU_kitchen_0025_2
TrF0351/NYU_kitchen_0025_1,TrF0351/NYU_kitchen_0025_3
TrF0351/NYU_kitchen_0025_1,TrF0351/NYU_kitchen_0025_3
VaF0352/NYU_kitchen_0027_1,VaF0352/NYU_kitchen_0027_2
VaF0352/NYU_kitchen_0027_3,VaF0352/NYU_kitchen_0027_4
VaF0352/NYU_kitchen_0027_1,VaF0352/NYU_kitchen_0027_3
VaF0352/NYU_kitchen_0027_1,VaF0352/NYU_kitchen_0027_4
VaF0352/NYU_kitchen_0027_2,VaF0352/NYU_kitchen_0027_4
VaF0352/NYU_kitchen_0027_3,VaF0352/NYU_kitchen_0027_4
VaF0353/NYU_kitchen_0028_1,VaF0353/NYU_kitchen_0028_2
VaF0353/NYU_kitchen_0028_3,VaF0353/NYU_kitchen_0028_4
VaF0353/NYU_kitchen_0028_2,VaF0353/NYU_kitchen_0028_3
VaF0353/NYU_kitchen_0028_4,VaF0353/NYU_kitchen_0028_6
TrF0354/NYU_kitchen_0029_1,TrF0354/NYU_kitchen_0029_2
TrF0354/NYU_kitchen_0029_1,TrF0354/NYU_kitchen_0029_5
TrF0354/NYU_kitchen_0029_2,TrF0354/NYU_kitchen_0029_5
TrF0354/NYU_kitchen_0029_3,TrF0354/NYU_kitchen_0029_5
VaF0355/NYU_kitchen_0030_2,VaF0355/NYU_kitchen_0030_3
VaF0355/NYU_kitchen_0030_3,VaF0355/NYU_kitchen_0030_5
VaF0356/NYU_kitchen_0031_3,VaF0356/NYU_kitchen_0031_4
TrF0357/NYU_kitchen_0032_1,TrF0357/NYU_kitchen_0032_2
TrF0358/NYU_kitchen_0033_1,TrF0358/NYU_kitchen_0033_2
TrF0358/NYU_kitchen_0033_1,TrF0358/NYU_kitchen_0033_4
TrF0358/NYU_kitchen_0033_1,TrF0358/NYU_kitchen_0033_5
TrF0358/NYU_kitchen_0033_1,TrF0358/NYU_kitchen_0033_6
TrF0358/NYU_kitchen_0033_2,TrF0358/NYU_kitchen_0033_4
TrF0358/NYU_kitchen_0033_2,TrF0358/NYU_kitchen_0033_5
TrF0358/NYU_kitchen_0033_2,TrF0358/NYU_kitchen_0033_6
TrF0358/NYU_kitchen_0033_4,TrF0358/NYU_kitchen_0033_5
TeF0359/NYU_kitchen_0035_1,TeF0359/NYU_kitchen_0035_2
TeF0359/NYU_kitchen_0035_1,TeF0359/NYU_kitchen_0035_3
TeF0359/NYU_kitchen_0035_1,TeF0359/NYU_kitchen_0035_5
TeF0359/NYU_kitchen_0035_1,TeF0359/NYU_kitchen_0035_6
TeF0359/NYU_kitchen_0035_2,TeF0359/NYU_kitchen_0035_4
TeF0359/NYU_kitchen_0035_3,TeF0359/NYU_kitchen_0035_4
TrF0360/NYU_kitchen_0040_1,TrF0360/NYU_kitchen_0040_2
TrF0361/NYU_kitchen_0041_1,TrF0361/NYU_kitchen_0041_2
TrF0361/NYU_kitchen_0041_1,TrF0361/NYU_kitchen_0041_3
TrF0361/NYU_kitchen_0041_2,TrF0361/NYU_kitchen_0041_3
TrF0362/NYU_kitchen_0042_1,TrF0362/NYU_kitchen_0042_2
TeF0363/NYU_kitchen_0045_1,TeF0363/NYU_kitchen_0045_2
VaF0364/NYU_kitchen_0045_3,VaF0364/NYU_kitchen_0045_4
TrF0365/NYU_kitchen_0045_5,TrF0365/NYU_kitchen_0045_6
TrF0366/NYU_kitchen_0047_2,TrF0366/NYU_kitchen_0047_3
TrF0367/NYU_kitchen_0048_3,TrF0367/NYU_kitchen_0048_4
TeF0368/NYU_kitchen_0049_3,TeF0368/NYU_kitchen_0049_4
TrF0369/NYU_kitchen_0050_2,TrF0369/NYU_kitchen_0050_3
TrF0369/NYU_kitchen_0050_3,TrF0369/NYU_kitchen_0050_4
TeF0370/NYU_kitchen_0051_4,TeF0370/NYU_kitchen_0051_5
VaF0371/NYU_kitchen_0052_1,VaF0371/NYU_kitchen_0052_2
VaF0371/NYU_kitchen_0052_1,VaF0371/NYU_kitchen_0052_3
VaF0371/NYU_kitchen_0052_1,VaF0371/NYU_kitchen_0052_4
VaF0371/NYU_kitchen_0052_1,VaF0371/NYU_kitchen_0052_5
VaF0371/NYU_kitchen_0052_2,VaF0371/NYU_kitchen_0052_3
VaF0371/NYU_kitchen_0052_2,VaF0371/NYU_kitchen_0052_4
VaF0371/NYU_kitchen_0052_2,VaF0371/NYU_kitchen_0052_5
VaF0371/NYU_kitchen_0052_3,VaF0371/NYU_kitchen_0052_4
VaF0371/NYU_kitchen_0052_3,VaF0371/NYU_kitchen_0052_5
VaF0371/NYU_kitchen_0052_4,VaF0371/NYU_kitchen_0052_5
TrF0372/NYU_kitchen_0053_1,TrF0372/NYU_kitchen_0053_3
TrF0372/NYU_kitchen_0053_2,TrF0372/NYU_kitchen_0053_5
TrF0372/NYU_kitchen_0053_3,TrF0372/NYU_kitchen_0053_4
TrF0372/NYU_kitchen_0053_4,TrF0372/NYU_kitchen_0053_5
TrF0372/NYU_kitchen_0053_4,TrF0372/NYU_kitchen_0053_6
TrF0372/NYU_kitchen_0053_5,TrF0372/NYU_kitchen_0053_6
TrF0373/NYU_kitchen_0054_2,TrF0373/NYU_kitchen_0054_3
TrF0373/NYU_kitchen_0054_1,TrF0373/NYU_kitchen_0054_3
TrF0374/NYU_kitchen_0056_3,TrF0374/NYU_kitchen_0056_4
TrF0375/NYU_kitchen_0057_2,TrF0375/NYU_kitchen_0057_3
TrF0375/NYU_kitchen_0057_2,TrF0375/NYU_kitchen_0057_4
TrF0375/NYU_kitchen_0057_3,TrF0375/NYU_kitchen_0057_4
TrF0376/NYU_kitchen_0058_1,TrF0376/NYU_kitchen_0058_2
TrF0376/NYU_kitchen_0058_1,TrF0376/NYU_kitchen_0058_3
TrF0376/NYU_kitchen_0058_2,TrF0376/NYU_kitchen_0058_3
TrF0377/NYU_kitchen_0059_1,TrF0377/NYU_kitchen_0059_2
TrF0377/NYU_kitchen_0059_1,TrF0377/NYU_kitchen_0059_3
TrF0377/NYU_kitchen_0059_2,TrF0377/NYU_kitchen_0059_3
TrF0378/NYU_kitchen_0060_1,TrF0378/NYU_kitchen_0060_2
TrF0379/NYU_kitchen_0060_3,TrF0379/NYU_kitchen_0060_4
TrF0380/NYU_laundry_room_0001_1,TrF0380/NYU_laundry_room_0001_2
TrF0380/NYU_laundry_room_0001_2,TrF0380/NYU_laundry_room_0001_3
TrF0380/NYU_laundry_room_0001_1,TrF0380/NYU_laundry_room_0001_3
TrF0381/NYU_living_room_0000_3,TrF0381/NYU_living_room_0000_4
TrF0381/NYU_living_room_0000_4,TrF0381/NYU_living_room_0000_5
TrF0381/NYU_living_room_0000_4,TrF0381/NYU_living_room_0000_6
TrF0382/NYU_living_room_0003_3,TrF0382/NYU_living_room_0003_4
VaF0383/NYU_living_room_0004_1,VaF0383/NYU_living_room_0004_2
TrF0384/NYU_living_room_0004_3,TrF0384/NYU_living_room_0004_4
TeF0385/NYU_living_room_0012_1,TeF0385/NYU_living_room_0012_2
TeF0386/NYU_living_room_0018_2,TeF0386/NYU_living_room_0018_3
VaF0387/NYU_living_room_0022_5,VaF0387/NYU_living_room_0022_6
TrF0388/NYU_living_room_0025_1,TrF0388/NYU_living_room_0025_3
TrF0389/NYU_living_room_0026_1,TrF0389/NYU_living_room_0026_2
TrF0390/NYU_living_room_0027_1,TrF0390/NYU_living_room_0027_2
TeF0391/NYU_living_room_0028_2,TeF0391/NYU_living_room_0028_3
TeF0392/NYU_living_room_0028_1,TeF0392/NYU_living_room_0028_4
TeF0393/NYU_living_room_0029_1,TeF0393/NYU_living_room_0029_2
TeF0393/NYU_living_room_0029_2,TeF0393/NYU_living_room_0029_3
TeF0393/NYU_living_room_0029_1,TeF0393/NYU_living_room_0029_3
TrF0394/NYU_living_room_0031_2,TrF0394/NYU_living_room_0031_3
VaF0395/NYU_living_room_0033_1,VaF0395/NYU_living_room_0033_2
TrF0396/NYU_living_room_0046_1,TrF0396/NYU_living_room_0046_2
TrF0397/NYU_living_room_0046_4,TrF0397/NYU_living_room_0046_5
TrF0398/NYU_living_room_0047_1,TrF0398/NYU_living_room_0047_2
TrF0398/NYU_living_room_0047_1,TrF0398/NYU_living_room_0047_4
TrF0398/NYU_living_room_0047_2,TrF0398/NYU_living_room_0047_4
TrF0399/NYU_living_room_0048_1,TrF0399/NYU_living_room_0048_2
TrF0400/NYU_living_room_0049_1,TrF0400/NYU_living_room_0049_2
TrF0401/NYU_living_room_0050_1,TrF0401/NYU_living_room_0050_2
TrF0401/NYU_living_room_0050_1,TrF0401/NYU_living_room_0050_3
TrF0401/NYU_living_room_0050_1,TrF0401/NYU_living_room_0050_4
TrF0401/NYU_living_room_0050_3,TrF0401/NYU_living_room_0050_4
TrF0402/NYU_living_room_0051_2,TrF0402/NYU_living_room_0051_3
TrF0402/NYU_living_room_0051_4,TrF0402/NYU_living_room_0051_3
VaF0403/NYU_living_room_0052_1,VaF0403/NYU_living_room_0052_2
TrF0404/NYU_living_room_0053_1,TrF0404/NYU_living_room_0053_2
TrF0404/NYU_living_room_0053_1,TrF0404/NYU_living_room_0053_3
TrF0404/NYU_living_room_0053_2,TrF0404/NYU_living_room_0053_3
VaF0405/NYU_living_room_0057_1,VaF0405/NYU_living_room_0057_2
VaF0406/NYU_living_room_0059_1,VaF0406/NYU_living_room_0059_2
VaF0406/NYU_living_room_0059_3,VaF0406/NYU_living_room_0059_4
VaF0406/NYU_living_room_0059_1,VaF0406/NYU_living_room_0059_3
VaF0406/NYU_living_room_0059_1,VaF0406/NYU_living_room_0059_4
VaF0406/NYU_living_room_0059_2,VaF0406/NYU_living_room_0059_3
VaF0406/NYU_living_room_0059_2,VaF0406/NYU_living_room_0059_4
VaF0407/NYU_living_room_0062_1,VaF0407/NYU_living_room_0062_2
VaF0407/NYU_living_room_0062_1,VaF0407/NYU_living_room_0062_3
TrF0408/NYU_living_room_0063_1,TrF0408/NYU_living_room_0063_2
TrF0409/NYU_living_room_0069_1,TrF0409/NYU_living_room_0069_2
TrF0410/NYU_living_room_0069_3,TrF0410/NYU_living_room_0069_4
TrF0411/NYU_living_room_0070_2,TrF0411/NYU_living_room_0070_3
VaF0412/NYU_living_room_0071_1,VaF0412/NYU_living_room_0071_2
TrF0413/NYU_living_room_0078_1,TrF0413/NYU_living_room_0078_2
TeF0414/NYU_living_room_0079_1,TeF0414/NYU_living_room_0079_2
VaF0415/NYU_living_room_0080_2,VaF0415/NYU_living_room_0080_3
TrF0417/NYU_living_room_0081_1,TrF0417/NYU_living_room_0081_4
TrF0417/NYU_living_room_0081_1,TrF0417/NYU_living_room_0081_5
TeF0416/NYU_living_room_0081_2,TeF0416/NYU_living_room_0081_3
TrF0418/NYU_living_room_0083_2,TrF0418/NYU_living_room_0083_3
TrF0419/NYU_living_room_0084_1,TrF0419/NYU_living_room_0084_2
TrF0419/NYU_living_room_0084_1,TrF0419/NYU_living_room_0084_3
VaF0420/NYU_living_room_0086_2,VaF0420/NYU_living_room_0086_3
VaF0420/NYU_living_room_0086_2,VaF0420/NYU_living_room_0086_4
VaF0420/NYU_living_room_0086_2,VaF0420/NYU_living_room_0086_5
VaF0420/NYU_living_room_0086_3,VaF0420/NYU_living_room_0086_4
VaF0420/NYU_living_room_0086_3,VaF0420/NYU_living_room_0086_5
VaF0420/NYU_living_room_0086_4,VaF0420/NYU_living_room_0086_5
VaF0421/NYU_office_0000_3,VaF0421/NYU_office_0000_4
TrF0422/NYU_office_0004_2,TrF0422/NYU_office_0004_3
TrF0423/NYU_office_0006_1,TrF0423/NYU_office_0006_3
TrF0423/NYU_office_0006_2,TrF0423/NYU_office_0006_3
TrF0424/NYU_office_0008_2,TrF0424/NYU_office_0008_3
TrF0424/NYU_office_0008_2,TrF0424/NYU_office_0008_4
TrF0425/NYU_office_0011_3,TrF0425/NYU_office_0011_4
TrF0426/NYU_office_0013_4,TrF0426/NYU_office_0013_5
TrF0427/NYU_office_0014_1,TrF0427/NYU_office_0014_2
TrF0427/NYU_office_0014_3,TrF0427/NYU_office_0014_4
TrF0427/NYU_office_0014_1,TrF0427/NYU_office_0014_3
TrF0427/NYU_office_0014_2,TrF0427/NYU_office_0014_3
TrF0428/NYU_office_0015_3,TrF0428/NYU_office_0015_4
TrF0429/NYU_office_0019_1,TrF0429/NYU_office_0019_2
TrF0429/NYU_office_0019_2,TrF0429/NYU_office_0019_3
TeF0430/NYU_office_0020_1,TeF0430/NYU_office_0020_2
TeF0432/NYU_office_0022_1,TeF0432/NYU_office_0022_5
TrF0431/NYU_office_0022_2,TrF0431/NYU_office_0022_3
TeF0432/NYU_office_0022_1,TeF0432/NYU_office_0022_4
VaF0433/NYU_office_0023_1,VaF0433/NYU_office_0023_2
TeF0434/NYU_office_0024_1,TeF0434/NYU_office_0024_2
TrF0435/NYU_office_0024_3,TrF0435/NYU_office_0024_4
VaF0436/NYU_office_0025_1,VaF0436/NYU_office_0025_2
TrF0437/NYU_office_0026_1,TrF0437/NYU_office_0026_2
TrF0437/NYU_office_0026_1,TrF0437/NYU_office_0026_3
TrF0437/NYU_office_0026_2,TrF0437/NYU_office_0026_3
VaF0438/NYU_office_0027_1,VaF0438/NYU_office_0027_2
VaF0438/NYU_office_0027_3,VaF0438/NYU_office_0027_4
VaF0439/NYU_office_0027_5,VaF0439/NYU_office_0027_6
VaF0438/NYU_office_0027_2,VaF0438/NYU_office_0027_3
VaF0438/NYU_office_0027_1,VaF0438/NYU_office_0027_3
